Player,VPIP,PFR,3Bet Total,All-In Adj BB
andreas1966,51.5,10.9,2.13,-508.07
andrebb89,25,25,33.33,-20.79
andrehr,51.17,30.49,9.95,-1321.5
andremarcusb,100,0,5.88,55.36
AndrewFava,34.87,23.29,9.1,-677.99
andrewsept,50,20,10,-132.45
Andrey@007@G,54.1,18.03,0,89.48
andreytert,52.16,35.22,16.39,-115.53
andrius a1,38.64,18.6,16.67,-138.53
andrius.go,61.19,11.94,5.56,-148.63
AndyCole,50,40,25,-30.4
AndyG,32.71,0,0,-119.39
andyneno,68,36,7.14,-79.14
aneta2001,25.71,14.29,0,19.99
AnetosOdy,47.89,4.74,2.68,96.91
AnFiieLD.,21.88,8.68,5.43,10.14
angelgabriel,71.15,32.69,5.88,-314.18
angelica87,42.86,23.81,16.67,12.6
AngelInvest,0,0,0,0
angelkar,47.08,19.3,4.11,-181.69
angelm71,80,0,25,-33.51
angelstip,70.83,56.25,40,-111.06
anika2712,27.27,18.18,0,-7.57
ANikolayU,38.46,7.69,0,107.92
Anilya555,46.67,20,14.29,-119.99
Animaldoctor,50,0,0,-100
AnimaLettire,0,0,0,0
anisanjmo,36.27,16.87,5.64,-465.35
Anita7484,42.86,14.29,0,-7.3
Ankan2k,36.17,26.24,7.21,340.8
anmols,45.16,19.35,8.33,43.56
Ann77,48.48,16.67,2.63,-174.71
annatess,51.79,16.73,2.54,1.61
AnndroidB110,37.93,18.39,5.13,-93.59
annjne,32.61,13.77,2.98,116.47
annoakara,57.61,20.65,3.85,51.9
annouzac,42.86,14.29,0,-57.29
anor_inverse,23.53,5.88,0,-37.58
ansdiop,26.32,10.53,0,3.45
Ansnes,61.4,26.32,1.79,-4.34
antchev,21.4,13.95,2.25,-139.8
anteen,32.23,21.87,9.18,106.02
antispeed,57.07,29.97,11.86,-575.45
AntoB3,35.71,7.14,0,17.26
anton n1,48.67,28.67,1.54,-283.04
anton316,40,25,0,33.22
AntonAnd20,33.33,20.83,0,-23.04
Antonio2100,72.46,30.43,10.81,-27.3
Antonio7,38.46,28.21,24.24,275.49
Antonio_di1,42.86,23.81,0,-104.36
Antonios5,29.41,0,0,-21.66
antonius85,52.63,31.58,8.33,-17.88
AntonSwagger,13.77,2.9,1.54,17.87
Antony77777,38.01,15.07,5.3,-10.19
antotacla,31.25,18.75,0,-6.28
antwnia1234,38.1,15.87,0,-183.42
Anty2011,43.75,29.69,11.54,78.26
Anuk_24,26.32,11.4,0,44.03
any2play3r,0,0,0,-2
ANY2WILLDOXX,66.67,50,0,-5.33
AnyBJBuyins,42.9,27.02,6.59,51.67
AnyTw0_Card$,41.43,24.29,8.11,211.19
Anywhat,31.82,18.18,0,18.51
ANZHELA87,33.33,10.42,0,-168.65
apathyplay,36,16,4,8.11
APC-Rinz,32.35,16.04,5.59,343.86
apertens,63.71,33.78,9.47,-434.63
Aphibarnowl7,38.03,7.75,6.02,-226.63
apilita,31.67,15,6.45,-144.94
apk15121979,71.23,27.85,8.87,-171.59
APOKALIPS29,59.7,47.76,22.22,150.65
apollonaz,66.67,33.33,33.33,-37.22
aposfi1979,78.72,6.38,0,-24.7
aposimbiesi,46.62,26.63,14.61,34.95
Apotheosis92,35.03,21.73,7.39,-412.3
appie880,73.68,26.32,9.09,-201.58
applesmash,44.44,11.11,20,49.2
apsuva97,44.44,33.33,20,38.78
apzhang,41.19,25.76,8.39,-330.52
AQ123,83.33,0,0,105.49
AQUA RAIDER,45.49,23.14,3.7,39.39
Aquino1985,38.64,9.85,4.41,-271.88
Aram325,59.88,12.79,6.06,2.94
aramesko,37.7,28.78,18.06,-3523.58
arapaki,28.57,14.29,0,-40
Arasch21,47.74,25.21,5.95,-147.83
archdimileto,54.72,39.62,21.74,-73.44
archibet1,40,20,0,-40.77
archielfc,70.38,30,4.55,-204.64
arctarus,36.25,21.38,9.2,-285.99
Arda2006,45,10,0,-14.08
Ardashir XX,32.47,16.88,16.22,19.31
Argentin_GOd,40.73,22.86,9.44,4268.79
Arghsick,58.33,31.67,10.34,13.25
Aria555,27.27,9.09,0,-11.53
Aria65,68.88,20.92,6.6,-136.1
arigåld20,37.72,13.86,8.43,-25.99
ariimario,53.1,9.91,3.92,-354.95
arikol,50,25,25,25.03
arilgab,40.48,19.05,0,-49.56
Arin-77,50,16.67,25,-53.57
ariplacrates,58.5,11,2.68,201.77
aristhegr8,50,0,0,-2.8
arman359,39.05,23.32,8.3,-574.41
ArneEvigTilt,100,100,0,47.95
arnie_137,61.4,45.61,23.08,-46.61
ArousedWhale,16.67,4.17,0,13.72
arq_msw,69.38,20.42,2.77,-375.52
arre86,46.15,19.23,12.5,-75.86
Arrika,50,30,14.29,-41.88
arron8,52.94,47.06,37.5,-41.41
arrow0008,39.22,29.41,20.83,-39.36
Arsen1416777,83.72,24.42,22.39,-336.93
arslan989,58.82,19.61,3.45,-76.91
ARTA47,80.22,15.38,3.03,-275.64
artan209,48.15,17.28,2.7,-51.17
Artem777217,63.79,18.1,7.81,-12.17
artemvik,28.48,16.56,8.02,-336.3
artiom7676,82.35,35.29,0,-18.98
ARTSchGamble,28.89,21.11,11.36,-125.91
ARTSUPER333,65.85,18.29,10.64,-65.72
arturuz77,33.04,18.99,7.09,-2350.03
as1025,36.08,20.14,5.04,78.94
AS1968,38.89,0,0,24.93
asaf7777,46.17,16.55,3.35,-16.09
ascentrian,23.81,9.52,0,-3.83
AseDel,83.33,50,60,-92.52
AserMSK,34.02,16.49,9.62,-39.78
Ashley Jones,31.43,18.1,5.56,-188.43
asjrxxx888,91.67,46.67,11.11,-121.23
Asker002,0,0,0,-1
asker444,43.75,37.5,0,-26.22
asker98555,36.36,13.64,27.27,39.69
asn444,86.67,40,10,27.67
asonev,33.33,8.33,0,11.5
Ass00006,38.89,8.33,5.88,-1.94
assajatka,44.15,22.34,3.75,2.68
Assohure,100,57.14,0,-26.45
asssssy,59.09,27.27,0,-1.09
astanapan21,35.85,22.64,5.26,-34.32
Astanphaeuc,78.57,50,50,-1.92
asterix93,67.55,20.86,5.15,305.33
asteroid_107,25,10.42,0,-73.22
asthma,42.13,29.21,8.97,267.05
astiko20,86.96,0,0,-14.5
Astonfull,63.8,18.28,2.68,-522.25
At0mSpl1tter,47.37,31.58,11.11,217.41
ataman063,59.13,29.57,11.67,-193.29
atataptbb,50,0,0,-6.6
atlabana,71.43,42.86,5.26,-69.07
atmkillers,21.81,6.04,5.88,-298.02
ATO2012,75,50,0,-15.5
atomic phart,22.22,12.96,13.64,-17.61
atomp15,71.15,25,3.45,-93.99
atoraya88,82.18,44.73,10.29,-2564.46
ATPDMJ84,25.84,6.74,4.26,-74.42
atrox88by,35.42,16.67,0,7.45
aubykddi,26.53,11.22,2.22,-93.2
audia6m,46.39,27,8.71,-4283.14
Audo5,80,0,0,-79
Aufangzeb,33.25,16.84,5.54,-457.52
aufzuckerter,39.7,21.81,8.23,1023.07
aura135,21.05,0,0,64.06
auralegra,61.43,34.29,14.81,-220.59
AuTraderEV,66.67,33.33,100,45.54
auwe1989,58.73,22.34,10.48,-244.78
AVarrr,47.43,26.53,10.88,-1563.27
AVEmoldovan,52.38,23.81,9.09,-61.53
Aven4,17.24,0,0,-29.65
aventador458,38.1,16.67,0,0.04
AVIA940,82.05,58.97,7.69,130.25
aviad3983,40.57,19.81,6.38,62.32
AVICCI2,29.27,17.07,0,-35.22
AVICO824,31.88,16.02,2.21,-18.75
avik9,73.94,41.49,10.67,246.4
avimat1,71.43,28.57,0,35.18
avishai.sh,66.67,16.67,0,-47.31
awagana123,40,30.59,16.22,185.32
AWEBRU,71.1,37.28,13.63,-2511.44
awg9,42.94,24.54,10.34,37.17
Axelf82,25.48,16.82,8.55,2487.77
axelson95,69.23,38.46,28.57,-115.68
Axeman_1002,37.25,18.3,1.47,244.18
ayaz13,68.7,11.3,5.72,-617.86
AyKay88,100,50,25,-149.48
aylinka18,46.15,30.77,8.7,-8.97
Ayranpro,52.5,15,16.67,-42.33
aytuas,61.9,23.81,11.11,-2.37
azaraward,63.73,9.38,4.59,-68.01
Azeem_18,37.63,25.95,6.25,-33.98
Azimka,39.13,34.78,22.22,20.38
azimkassam,70.05,64.47,59.79,-407.67
AzizZ2O,37.92,20.57,2.88,-145.44
azn1983,36.67,13.33,2.27,4.57
azn_baller3,43.34,24.24,9.36,-1413.26
azzad2007,21.27,12.56,3.82,-257.9
azzuri99,46.34,9.76,4.35,8.17
B.O.Z.Z.222,37.5,25,0,2.01
b04marc,43.51,16.88,5.37,12.85
B0bbyPeru,32.13,18.6,4.72,1170.12
B0NEYARD,23.24,13.7,2.81,-676.91
B1nkt1me,35.04,22.87,6.29,-309.5
b_slavko,57.14,14.29,0,12.4
baaadshaaa,38.6,28.07,8.7,-31.78
baaannng,73.33,46.67,0,-70.46
baadger,35.12,20.43,8.14,5015.02
